customer_id,age,monthly_spend,account_age_months,support_tickets,plan,country,churned
1052,28,167.64,20,0,basic,france,0
1053,37,110.88,19,2,standard,france,1
1054,42,72.23,35,4,standard,uk,0
1055,44,112.5,70,3,standard,uk,0
1056,20,18.76,19,3,standard,germany,0
1057,46,173.16,55,5,premium,germany,1
1058,26,94.58,14,2,standard,germany,1
1059,57,144.15,65,0,basic,uk,0
1060,54,28.65,3,1,basic,uk,0
1061,66,95.3,86,1,basic,uk,0
1062,57,95.97,7,1,basic,germany,0
1063,37,169.74,24,1,basic,spain,1
1064,69,109.34,21,3,standard,uk,1
1065,39,93.13,100,1,basic,germany,0
1066,35,59.05,7,4,premium,uk,1
1067,65,69.71,52,4,basic,uk,1
1068,37,100.91,71,1,basic,uk,0
1069,22,87.42,62,1,standard,uk,0
1070,42,18.57,82,5,premium,germany,1
1071,60,151.34,97,2,basic,spain,0
1072,28,162.87,48,3,basic,uk,1
1073,42,38.14,100,2,basic,france,0
1074,24,106.42,39,1,standard,germany,0
1075,54,32.91,119,3,standard,spain,0
1076,43,125.92,61,3,basic,germany,1
1077,35,61.4,89,2,basic,uk,1
1078,30,123.8,106,2,standard,germany,0
1079,47,134.95,96,6,premium,uk,0
1080,53,141.83,103,3,standard,spain,0
1081,67,32.78,65,0,standard,uk,1
1082,41,166.14,6,3,basic,germany,1
1083,26,52.99,60,1,basic,uk,1
1084,62,21.17,22,0,basic,france,1
1085,51,106.55,107,3,standard,spain,1
1086,55,76.2,29,0,premium,germany,0
1087,23,151.92,28,4,premium,france,1
1088,34,148.36,30,7,premium,spain,1
1089,58,67.33,78,6,premium,spain,1
1090,62,172.23,69,3,premium,uk,1
1091,41,63.0,114,0,basic,france,0
1092,60,99.98,50,5,basic,france,1
1093,62,57.23,34,1,basic,germany,0
1094,38,169.45,6,4,standard,uk,1
1095,65,42.16,1,1,basic,uk,1
1096,33,22.41,45,0,premium,spain,0
1097,30,86.79,112,6,standard,spain,0
1098,54,178.74,63,3,standard,spain,0
1099,51,162.13,108,2,basic,spain,0
1100,25,138.52,13,3,basic,germany,1
1101,62,161.98,12,3,basic,germany,1
1102,28,162.42,101,2,premium,germany,0
1103,60,100.61,13,2,standard,france,1
1104,18,67.13,7,4,standard,france,0
1105,60,142.38,49,1,basic,uk,0
1106,59,124.17,111,4,basic,germany,1
1107,59,76.65,83,2,standard,uk,0
1108,53,30.59,12,1,standard,uk,0
1109,42,138.22,101,1,standard,france,0
1110,55,58.31,102,2,basic,france,0
1111,32,169.57,97,4,premium,uk,1
1112,59,54.76,109,2,basic,germany,1
1113,47,35.26,29,5,premium,spain,0
1114,42,152.13,118,1,basic,uk,0
1115,44,40.29,39,2,basic,uk,0
1116,48,44.58,97,4,premium,uk,0
1117,19,113.9,70,5,basic,germany,1
1118,25,159.3,94,1,standard,spain,0
1119,31,47.41,76,4,standard,uk,0
1120,24,66.2,78,1,basic,germany,0
1121,41,143.27,74,0,standard,uk,0
1122,53,175.35,94,1,premium,uk,0
1123,52,97.62,89,2,premium,spain,0
1124,42,38.74,17,0,basic,uk,0
1125,63,17.3,100,1,standard,uk,0
1126,47,52.89,65,0,basic,france,0
1127,22,36.75,39,2,basic,germany,0
1128,58,126.81,62,2,basic,spain,0
1129,48,35.1,117,1,premium,spain,0
1130,51,98.54,103,0,premium,uk,0
1131,47,129.55,101,2,standard,uk,1
1132,47,110.88,56,3,standard,germany,1
1133,22,47.96,95,1,standard,uk,0
1134,47,147.68,47,2,standard,spain,0
1135,60,133.04,83,2,standard,germany,0
1136,34,136.93,77,2,standard,uk,0
1137,49,36.62,30,0,basic,spain,0
1138,19,35.42,32,2,basic,uk,0
1139,36,168.05,8,1,premium,france,1
1140,41,80.6,17,0,standard,france,0
1141,70,64.66,53,2,premium,france,0
1142,29,95.62,58,2,basic,germany,1
1143,32,124.37,20,2,standard,germany,1
1144,39,172.68,51,4,basic,spain,1
1145,70,62.26,73,4,basic,spain,1
1146,63,167.59,28,2,basic,france,1
1147,19,19.1,41,2,basic,uk,1
1148,30,106.61,45,0,premium,germany,0
1149,61,119.61,61,1,basic,spain,1
1150,21,32.47,44,2,standard,uk,0
1151,63,38.16,89,4,standard,france,1
1152,32,84.15,40,1,standard,france,0
1153,66,174.43,53,1,standard,uk,1
1154,33,113.35,46,1,basic,germany,0
1155,41,168.95,22,0,premium,uk,0
1156,53,147.72,83,2,premium,germany,0
1157,24,92.12,29,4,standard,spain,1
1158,47,144.49,36,0,standard,spain,1
1159,44,17.94,96,3,basic,france,0
1160,59,33.01,114,0,premium,uk,0
